category,datetime,headline,id,image,related,source,summary,url
company,1767200772,"Winners, Losers, Wild Opinions: Benzinga Chat, Show Co-Host Look At 2025, 2026",138418249,https://cdn.benzinga.com/files/images/story/2025/12/31/Road-Signs-Indicate-The-Path-To-The-New-.jpeg?width=2048&height=1536,AAPL,Benzinga,"2025 was a rollercoaster for Benzinga chat room participants, with mixed opinions on various stocks; 2026 may see escalation of China/Taiwan issue.",https://finnhub.io/api/news?id=c53ad1b63ecbb88122bf6901a55e17f9cc8164b581137f3b522c21b7a00cb6e6
company,1767200604,Plexo Capital's Lo Toney: AI 'inference economics' important to watch in 2026,137958449,https://image.cnbcfm.com/api/v1/image/108247261-17672167671767216764-43265238311-1080pnbcnews.jpg?v=1767216766&w=1920&h=1080,AAPL,CNBC,Plexo Capital's Lo Toney joins 'Closing Bell Overtime' to talk what the AI trade will look like in 2026 and who will benefit from it.,https://finnhub.io/api/news?id=405364f5e47b2da95670cf25c49a68bb1bdebf0f2a457c46c615a52b2821b88f
company,1767198840,Robo-Taxis and Home Runs? 40 Overlooked Bargain Stocks for 2026.,137950014,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Uber Technologies and the Braves are on the latest Forgotten Forty list of value stocks from John Boyar.,https://finnhub.io/api/news?id=106d5bcf3a9655d8a8a84b6a2e23d6b057765535f1c48e2ed50a93a5818d4936
company,1767197354,TSMC Shares Rise on AI Demand and Next-Gen Chip Launch,137950004,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Nvidia and Apple Orders Drive TSMC Latest Chip Surge,https://finnhub.io/api/news?id=6a176c0e58cba8b48011574540b27d933c4ab76fe3d46ea2e7f8ac4335ff66f2
company,1767197191,"Google wraps up best year on Wall Street since 2009, beating megacap peers as AI story strengthens",137958438,https://image.cnbcfm.com/api/v1/image/108198798-17579466992025-02-11t084341z_1641640951_rc28scafuh29_rtrmadp_0_ai-summit.jpeg?v=1767218227&w=1920&h=1080,AAPL,CNBC,Shares of Alphabet rallied in 2025 as the company responded to skepticism of its position in artificial intelligence with new products that excited investors. ,https://finnhub.io/api/news?id=1c41be2584f58f488f36a5bf54e8dc205f9b52af7d9a1f157e804a1b1dff6c97
company,1767197051,"Nike Shares Rise After CEO Elliott Hill, Director Tim Cook Buy Stock",137950016,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Insiders boost confidence as company seeks turnaround after 19% annual decline.,https://finnhub.io/api/news?id=1076df6514fcdc5880713558e59b3d89c4015ec21c0275c5a8d712c5df5cbf94
company,1767193731,Market Movers: Nike Exploding Higher on Insider Buying,137950017,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Oversold shares of Nike (NYSE: NKE) are on the run. All on news that CEO Elliott Hill bought 16,400 shares for about $1 million. This follows news that Apple’s Tim Cook bought $3 million worth of Nike stock. Cook, who has been on the NKE board since 2005, bought 50,000 shares at an average price ... Market Movers: Nike Exploding Higher on Insider Buying",https://finnhub.io/api/news?id=bb7adb31ef2ca1c6685344da9ecaea58681521e3f3db23ceab58bb7e4ad2e252
company,1767192574,Warren Buffett Added a Big Chunk of This Tech Stock. Should You Add It Too?,137950018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"A true living legend, Warren Buffett is known as the CEO of Berkshire Hathaway (NYSE:BRK-B) and a brilliant stock picker. He focuses on value and, other than Apple (NASDAQ:AAPL) stock and Amazon (NASDAQ:AMZN), Buffett doesn’t often buy many mega-cap technology stocks. Hence, it’s of great interest that Buffett’s company recently sold some stock shares, and even trimmed ... Warren Buffett Added a Big Chunk of This Tech Stock. Should You Add It Too?",https://finnhub.io/api/news?id=92c535738aec5f379f68eb7034fa0b29034198fc5d71b8b782fdafc51ae27748
company,1767192000,Nike CEO Buys $1 Million of Stock as Insiders Bet on a Turnaround,137950019,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"Nike  stock slumped in 2025 as it continued a multiyear downturn.  A Form 4 filed Tuesday with the Securities and Exchange Commission shows President and CEO Elliott Hill bought 16,388 shares of the sportswear company for about $61.10 apiece on Dec. 29.  The transaction boosted his direct holdings to 241,587 Class B shares, valued at nearly $14.8 million based on Tuesday’s closing price of $61.19.",https://finnhub.io/api/news?id=418b892dad9715be9190413a7b060d5baa07b44d34937592c85614abf3931d94
company,1767189584,Apple's AI challenges in 2026,137958455,https://image.cnbcfm.com/api/v1/image/108247190-1767207534498-1767205715-43263041808-hd.jpg?v=1767207536&w=1920&h=1080,AAPL,CNBC,CNBC’s Steve Kovach reports on news regarding Apple.,https://finnhub.io/api/news?id=674e9e85310f3415e06dd70ae931d8d8b90c660667d6ae6da2598af2686704e2
