units,dropout,batch_size,rmse,mae,r2
100,0.1,32,5.228649408004358,4.298415357013077,0.9490078909587555
50,0.1,64,6.811575369121898,5.54137388717296,0.9134595672224443
100,0.2,64,7.001129517055356,5.948833092977831,0.9085760136607013
50,0.3,32,7.18297177064443,5.599677791151888,0.9037651775872407
100,0.2,32,7.612029097808904,5.963698418195856,0.8919251081897256
50,0.2,64,9.059145568174356,7.36180881234102,0.8469270660476146
100,0.3,64,10.399206886512234,8.243628000658614,0.7982914225078427
50,0.3,64,11.023179927834205,8.8232404132222,0.773359394086779
50,0.2,32,12.672128291342789,10.921200490552328,0.700481913882798
100,0.3,32,13.33701358827056,11.67162262672602,0.6682269408687305
100,0.1,64,14.121634390657578,12.047613312477292,0.628042040340786
50,0.1,32,14.861020195687251,13.412717313544697,0.5880721276600768
